customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,0,No,No,51,Yes,DSL,No internet service,No internet service,Two year,Yes,Mailed check,81.74,4169.65,0
CUST-00001,Female,0,No,Yes,14,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),98.18,1306.06,0
CUST-00002,Male,0,No,No,71,Yes,Fiber optic,No,No internet service,One year,Yes,Credit card (automatic),64.64,4567.46,0
CUST-00003,Male,0,Yes,Yes,60,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,54.17,3279.23,0
CUST-00004,Female,1,No,No,20,Yes,DSL,No,No internet service,Two year,Yes,Credit card (automatic),28.84,545.38,0
CUST-00005,Male,0,No,No,23,No,DSL,No,Yes,Two year,No,Credit card (automatic),105.59,2418.56,0
CUST-00006,Male,1,No,No,2,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,96.32,277.48,0
CUST-00007,Male,0,Yes,No,21,Yes,DSL,No,Yes,Two year,Yes,Electronic check,34.81,830.51,0
CUST-00008,Male,0,Yes,Yes,52,No,DSL,No internet service,Yes,Month-to-month,No,Credit card (automatic),69.23,3491.89,0
CUST-00009,Female,0,Yes,No,1,No,Fiber optic,Yes,No,Two year,Yes,Bank transfer (automatic),66.74,72.43,0
CUST-00010,Male,0,Yes,No,29,Yes,No,No,No,One year,No,Credit card (automatic),80.51,2480.64,0
CUST-00011,Male,0,Yes,No,37,Yes,Fiber optic,Yes,Yes,One year,No,Mailed check,112.62,4190.88,0
CUST-00012,Male,0,No,No,1,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,75.98,76.9,0
CUST-00013,Male,0,Yes,Yes,63,Yes,Fiber optic,No internet service,Yes,One year,Yes,Electronic check,72.02,4602.89,0
CUST-00014,Female,0,Yes,No,59,Yes,DSL,Yes,No internet service,Two year,Yes,Credit card (automatic),23.03,1369.67,0
CUST-00015,Female,0,No,No,20,No,Fiber optic,Yes,No internet service,Two year,Yes,Electronic check,24.29,521.26,0
CUST-00016,Male,0,No,No,32,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,36.73,1164.84,0
CUST-00017,Female,0,No,No,57,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,21.25,1221.43,0
CUST-00018,Male,0,No,No,21,No,DSL,No internet service,Yes,Month-to-month,No,Mailed check,92.34,1960.47,1
CUST-00019,Male,0,No,No,48,Yes,Fiber optic,No internet service,No,One year,Yes,Electronic check,90.33,4379.12,0
CUST-00020,Male,0,Yes,No,58,Yes,Fiber optic,No internet service,No internet service,One year,No,Bank transfer (automatic),31.61,1811.79,0
CUST-00021,Female,0,No,No,41,Yes,DSL,No,No,Month-to-month,No,Mailed check,101.61,4143.07,0
CUST-00022,Female,0,Yes,No,59,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,33.48,1878.95,1
CUST-00023,Male,0,Yes,No,14,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,48.12,654.32,0
CUST-00024,Female,0,No,No,61,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),42.9,2664.55,1
CUST-00025,Male,0,Yes,No,61,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,55.23,3392.19,0
CUST-00026,Male,0,No,No,46,Yes,Fiber optic,No,Yes,One year,No,Electronic check,43.47,1949.78,0
CUST-00027,Male,0,No,Yes,61,Yes,Fiber optic,No,Yes,Two year,Yes,Bank transfer (automatic),66.9,3985.71,0
CUST-00028,Male,0,Yes,No,50,Yes,Fiber optic,Yes,No,One year,No,Electronic check,58.74,2929.88,0
CUST-00029,Male,0,Yes,Yes,54,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,116.66,6345.83,0
CUST-00030,Female,1,Yes,No,63,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer (automatic),23.59,1462.23,0
CUST-00031,Male,0,Yes,No,2,Yes,Fiber optic,Yes,No,One year,No,Electronic check,32.22,0.0,1
CUST-00032,Female,0,Yes,No,50,Yes,No,Yes,No internet service,One year,Yes,Electronic check,23.28,1134.52,0
CUST-00033,Female,0,No,No,6,Yes,DSL,No internet service,No,One year,Yes,Bank transfer (automatic),80.58,499.79,0
CUST-00034,Male,0,No,No,20,Yes,Fiber optic,No,No internet service,Two year,No,Bank transfer (automatic),23.45,531.12,0
CUST-00035,Female,0,No,No,72,Yes,Fiber optic,Yes,No,Month-to-month,No,Bank transfer (automatic),101.64,7305.25,0
CUST-00036,Male,0,No,No,38,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,69.19,2681.96,0
CUST-00037,Female,0,Yes,No,17,Yes,Fiber optic,No internet service,Yes,Two year,No,Mailed check,70.7,1249.1,0
CUST-00038,Male,0,No,No,3,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),74.16,163.65,0
CUST-00039,Male,0,Yes,Yes,59,Yes,DSL,No,No,One year,Yes,Electronic check,35.08,2132.26,0
CUST-00040,Male,1,Yes,No,13,Yes,Fiber optic,No internet service,Yes,Two year,Yes,Electronic check,37.77,505.77,0
CUST-00041,Male,1,Yes,Yes,8,Yes,Fiber optic,No,No,Two year,No,Bank transfer (automatic),49.88,338.71,0
CUST-00042,Male,0,No,No,52,Yes,DSL,No internet service,Yes,One year,Yes,Mailed check,77.35,4110.24,0
CUST-00043,Male,0,Yes,No,1,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),39.01,32.73,1
CUST-00044,Female,0,Yes,No,59,Yes,Fiber optic,No internet service,Yes,Two year,No,Electronic check,29.63,1651.0,0
CUST-00045,Male,0,No,No,70,Yes,Fiber optic,No,No internet service,One year,Yes,Electronic check,115.01,8015.39,1
CUST-00046,Female,0,No,Yes,43,Yes,DSL,No,No internet service,Month-to-month,Yes,Credit card (automatic),20.2,820.98,0
CUST-00047,Male,0,Yes,No,7,Yes,No,Yes,No internet service,One year,No,Mailed check,98.27,653.8,0
CUST-00048,Female,0,Yes,Yes,46,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,4430.54,1
